id,c_codigopostal,c_estado,c_municipio,c_localidad
catalogos_codigo_postal366,20364,AGU,1,
catalogos_codigo_postal367,20365,AGU,,
catalogos_codigo_postal368,20366,AGU,1,
catalogos_codigo_postal369,20367,AGU,1,
catalogos_codigo_postal370,20368,AGU,,
catalogos_codigo_postal371,20369,AGU,1,
catalogos_codigo_postal372,20370,AGU,1,
catalogos_codigo_postal373,20371,AGU,1,
catalogos_codigo_postal374,20372,AGU,1,
catalogos_codigo_postal375,20373,AGU,1,
catalogos_codigo_postal376,20374,AGU,,
catalogos_codigo_postal377,20375,AGU,1,
catalogos_codigo_postal378,20376,AGU,1,
catalogos_codigo_postal379,20377,AGU,1,
catalogos_codigo_postal380,20378,AGU,,
catalogos_codigo_postal381,20379,AGU,1,
catalogos_codigo_postal382,20380,AGU,,
catalogos_codigo_postal383,20381,AGU,,
catalogos_codigo_postal384,20382,AGU,,
catalogos_codigo_postal385,20383,AGU,,
catalogos_codigo_postal386,20384,AGU,1,
catalogos_codigo_postal387,20385,AGU,1,
catalogos_codigo_postal388,20386,AGU,1,
catalogos_codigo_postal389,20387,AGU,,
catalogos_codigo_postal390,20388,AGU,,
catalogos_codigo_postal391,20389,AGU,1,
catalogos_codigo_postal392,20390,AGU,1,
catalogos_codigo_postal393,20391,AGU,1,
catalogos_codigo_postal394,20392,AGU,1,
catalogos_codigo_postal395,20393,AGU,1,
catalogos_codigo_postal396,20394,AGU,1,
catalogos_codigo_postal397,20395,AGU,1,
catalogos_codigo_postal398,20396,AGU,1,
catalogos_codigo_postal399,20397,AGU,,
catalogos_codigo_postal400,20398,AGU,,
catalogos_codigo_postal401,20399,AGU,1,
catalogos_codigo_postal402,20400,AGU,7,6
catalogos_codigo_postal403,20401,AGU,,
catalogos_codigo_postal404,20402,AGU,,
catalogos_codigo_postal405,20403,AGU,7,6
catalogos_codigo_postal406,20404,AGU,7,6
catalogos_codigo_postal407,20405,AGU,7,6
catalogos_codigo_postal408,20406,AGU,7,6
catalogos_codigo_postal409,20407,AGU,,
catalogos_codigo_postal410,20408,AGU,,
catalogos_codigo_postal411,20409,AGU,,
catalogos_codigo_postal412,20410,AGU,7,6
catalogos_codigo_postal413,20411,AGU,,
catalogos_codigo_postal414,20412,AGU,,
catalogos_codigo_postal415,20413,AGU,,
catalogos_codigo_postal416,20414,AGU,7,6
catalogos_codigo_postal417,20415,AGU,7,6
catalogos_codigo_postal418,20416,AGU,7,6
catalogos_codigo_postal419,20417,AGU,7,6
catalogos_codigo_postal420,20418,AGU,,
catalogos_codigo_postal421,20419,AGU,,
catalogos_codigo_postal422,20420,AGU,7,
catalogos_codigo_postal423,20421,AGU,,
catalogos_codigo_postal424,20422,AGU,,
catalogos_codigo_postal425,20423,AGU,7,
catalogos_codigo_postal426,20424,AGU,7,
catalogos_codigo_postal427,20425,AGU,7,
catalogos_codigo_postal428,20426,AGU,7,
catalogos_codigo_postal429,20427,AGU,7,
catalogos_codigo_postal430,20428,AGU,,
catalogos_codigo_postal431,20429,AGU,,
catalogos_codigo_postal432,20430,AGU,7,
catalogos_codigo_postal433,20431,AGU,,
catalogos_codigo_postal434,20432,AGU,,
catalogos_codigo_postal435,20433,AGU,,
catalogos_codigo_postal436,20434,AGU,7,
catalogos_codigo_postal437,20435,AGU,7,
catalogos_codigo_postal438,20436,AGU,7,
catalogos_codigo_postal439,20437,AGU,7,
catalogos_codigo_postal440,20438,AGU,,
catalogos_codigo_postal441,20439,AGU,,
catalogos_codigo_postal442,20440,AGU,7,
catalogos_codigo_postal443,20441,AGU,,
catalogos_codigo_postal444,20442,AGU,,
catalogos_codigo_postal445,20443,AGU,,
catalogos_codigo_postal446,20444,AGU,7,
catalogos_codigo_postal447,20445,AGU,7,
catalogos_codigo_postal448,20446,AGU,7,
catalogos_codigo_postal449,20447,AGU,7,
catalogos_codigo_postal450,20448,AGU,,
catalogos_codigo_postal451,20449,AGU,,
catalogos_codigo_postal452,20450,AGU,7,
catalogos_codigo_postal453,20451,AGU,,
catalogos_codigo_postal454,20452,AGU,,
catalogos_codigo_postal455,20453,AGU,,
catalogos_codigo_postal456,20454,AGU,7,
catalogos_codigo_postal457,20455,AGU,,
catalogos_codigo_postal458,20456,AGU,7,
catalogos_codigo_postal459,20457,AGU,7,
catalogos_codigo_postal460,20458,AGU,,
